text,label,spacy_label
"physician certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implem",,patient patient
psychiatric diagnostic evaluation with medical services,,
"psychotherapy, 30 minutes",,
brief emotional or behavioral assessment,,
"drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms",,
air and bone conduction assessment of hearing loss and speech recognition,,bone
"application of electrical stimulation to 1 or more areas, each 15 minutes",,
"self-care or home management training, each 15 minutes",,
routine electrocardiogram (ekg) with tracing using at least 12 leads,,
"heart rhythm tracing, computer analysis, physician prescribed transmission of patient-triggered events greater than 24-hour ekg up to 30 days",heart,heart
"remote evaluations of heart rhythm monitor system implanted under skin with qualified health care professional analysis, review, and report, up to 30 days",heart,heart skin
"remote evaluations of implantable heart and blood vessel monitor or loop recorder system with technician analysis, review, and report, up to 30 days",heart,heart blood vessel
chronic care management services at least 20 minutes per calendar month,,
"anesthesia for procedure on esophagus, stomach, small bowel, and/or large bowel using an endoscope",anesthesia,esophagus stomach bowel bowel
testing of autonomic (sympathetic) nervous system function,,
testing of autonomic (parasympathetic and sympathetic) nervous system function,,
application of whirlpool therapy to 1 or more areas,,
therapeutic procedures in a group setting,,
"hospital observation care, typically 50 minutes",,
"injection of anesthetic agent, brachial (arm) nerve bundle",nerve injection,brachial (arm)
anesthesia for procedure on heart and great blood vessels,anesthesia heart,heart blood vessels
"anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",anesthesia heart,heart blood vessels
"insertion of central venous catheter for infusion, patient 5 years or older",catheter,patient
"insertion of arterial catheter for blood sampling or infusion, accessed through the skin",catheter,arterial catheter blood skin
thyroxine (thyroid chemical) measurement,,thyroxine thyroid
"blood test, thyroid stimulating hormone (tsh)",,blood thyroid
"complete blood cell count (red cells, white blood cell, platelets), automated test",,blood cell red cells blood cell platelets
"removal of lymph nodes, muscle, and tissue of neck",neck,lymph nodes muscle tissue
diagnostic examination of ear and nose,,ear
behavioral and qualitative analysis of voice and resonance,,
assessment of balance and postural instability,,
"injection of incremental dosages of allergen, 2 or more injections",injection,"allergen, 2"
preparation and provision of single or multiple antigens for allergen immunotherapy,,
removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing,,cerumen
anesthesia for procedure to correct abnormal heart rhythm,anesthesia heart,heart
anesthesia for procedure on heart to correct abnormal rhythm,anesthesia heart,heart
anesthesia for heart artery bypass grafting on heart-lung machine,artery anesthesia heart,heart artery
anesthesia for x-ray or radiation therapy,anesthesia,
"anesthesia for x-ray procedure on artery in brain, heart, or major vessel of chest (aorta)",artery chest anesthesia,artery brain heart vessel chest (
insertion of catheter into right upper heart chamber and pulmonary (lung) artery for monitoring purposes,artery catheter pulmonary heart,heart pulmonary lung
"removal of growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs",,trunk legs
"removal of malignant growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs",,malignant growth trunk legs
"removal of malignant growth (3.1 to 4 centimeters) of the trunk, arms, or legs",,malignant growth trunk legs
"removal of malignant growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals",,malignant growth scalp genitals
"removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",,malignant growth eyelids
"repair of wound (2.6 to 7.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs",,wound scalp trunk legs
"repair of wound (2.6 to 7.5 centimeters) of neck, hands, feet, and/or genitals",,wound genitals
repair of wound (2.6 to 7.5 centimeters) of trunk,,wound trunk
"repair of wound (2.6 to 7.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",,wound forehead
biopsy of ear,biopsy,ear
incision of eardrum with insertion of eardrum tube under local or topical anesthesia,incision anesthesia tube,eardrum eardrum tube
fluoroscopic and video recorded motion evaluation of swallowing function,,
"influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)",,intramuscular
prolonged patient service without direct patient contact first hour,,patient patient
"chiropractic manipulative treatment, 1-2 spinal regions",,
anesthesia for diagnostic x-ray procedure on arteries or veins,anesthesia,arteries
imaging of joint with stressing by physician,,joint
"injection, zoledronic acid, 1 mg",,zoledronic acid
"hospital observation or inpatient care high severity, 55 minutes per day",,
"initial nursing facility visit, typically 35 minutes per day",,
insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,artery catheter neck,artery
insertion of catheter into chest artery for diagnosis or treatment including radiological supervision and interpretation,artery chest catheter,chest artery
"removal of blood clot and injection to dissolve blood clot from head artery using fluoroscopic guidance, accessed through skin",artery injection,blood clot blood clot head artery skin
cell examination of urine,,cell urine
evaluation of fine needle aspirate,needle,fine needle
evaluation of fine needle aspirate with interpretation and report,needle,fine needle
"pathology examination of tissue using a microscope, high complexity",,tissue
surgical pathology consultation and report,,
pathology examination of tissue during surgery,surgery,tissue
"removal of malignant growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs",,malignant growth trunk legs
injection of up to 7 skin growths,injection,skin
"repair of wound (2.5 centimeters or less) of face, ears, eyelids, nose, lips, and/or mouth",,wound eyelids
"repair of wound (2.6 to 7.5 centimeters) of scalp, arms, and/or legs",,wound scalp legs
"repair of wound (1.1 to 2.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",,wound forehead
"repair of wound (1.1 to 2.5 centimeters) of eyelids, nose, ears, and/or lips",,wound eyelids
"repair of wound (2.6 to 7.5 centimeters) of eyelids, nose, ears, and/or lips",,wound eyelids
"destruction of malignant growth (1.1 to 2.0 centimeters) of trunk, arms, or legs",,malignant growth trunk legs
"removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)",,"head, neck tissue"
"removal and microscopic examination of growth of the head, neck, hands, feet, or genitals",,"head, neck genitals"
"removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)",,trunk legs tissue
balloon dilation of esophagus using an endoscope,esophagus,esophagus
dilation of esophagus,esophagus,esophagus
colorectal cancer screening; colonoscopy on individual at high risk,colonoscopy,colorectal cancer
ct scan abdomen with contrast,abdomen ct contrast,abdomen
"fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",,fluorodeoxyglucose f-18
"injection, gadoterate meglumine, 0.1 ml",,gadoterate meglumine
radiation therapy consultation per week,,
"intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc, per treatment session",,
"anesthesia for open procedure on bones of lower leg, ankle and foot",anesthesia foot,bones
insertion of stomach tube using an endoscope,stomach tube,stomach tube
electronic analysis reprogramming and refill of spinal canal drug infusion pump by physician,,spinal canal
emergent insertion of breathing tube into windpipe cartilage using an endoscope,tube,tube cartilage
ultrasound guidance for accessing into blood vessel,ultrasound,blood vessel
"repair of wound (2.5 centimeters or less) of the scalp, neck, underarms, trunk, arms and/or legs",,wound scalp trunk legs
interpretation and report of electrical activity of heart using 1-3 leads,heart,heart
anesthesia for electric shock treatment,anesthesia,
"injection of anesthetic agent, other peripheral nerve or branch",nerve injection,peripheral nerve
